Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_03.mzML
Q8NBI5	S43A3_HUMAN	SLC43A3	Equilibrative nucleobase transporter 1	1	1	4.43554e+06	4.39827e+06	4.1666e+06	4.25233e+06	4.1798e+06	4.02572e+06	5.93974e+06	5.12366e+06	3.8461e+06				1.0958e+06	2.78189e+06	2.15412e+06	4.31695e+06	3.56251e+06	3.56631e+06
Q8NBJ5	GT251_HUMAN	COLGALT1	Procollagen galactosyltransferase 1	12	12	9.13131e+06	9.392e+06	9.85514e+06	8.834e+06	9.64128e+06	9.16638e+06	9.12848e+06	9.61191e+06	9.25858e+06	8.36702e+06	9.50748e+06	9.41548e+06	9.30368e+06	9.38579e+06	9.10407e+06	9.14958e+06	8.75846e+06	9.3217e+06
Q8NBJ7	SUMF2_HUMAN	SUMF2	Inactive C-alpha-formylglycine-generating enzyme 2	7	7	7.09209e+07	7.38058e+07	8.33874e+07	5.17662e+07	6.99935e+07	7.21243e+07	7.12408e+07	7.49085e+07	7.8127e+07	6.74293e+07	5.25493e+07		3.38051e+07	5.69978e+07	6.28614e+07	6.40086e+07	7.0744e+07	6.82761e+07
Q8NBN3	GPHCC_HUMAN	TMEM87A	Golgi-pH regulating cation channel	1	1		4.72398e+06	5.12869e+06		5.09486e+06	5.63939e+06	7.08092e+06	6.83183e+06	5.62981e+06							4.73406e+06	3.24518e+06	2.50631e+06
Q8NBN7	RDH13_HUMAN	RDH13	Retinol dehydrogenase 13	11	11	2.46722e+07	2.5162e+07	2.28297e+07	2.58549e+07	2.72124e+07	2.31295e+07	2.50572e+07	2.50775e+07	2.40261e+07	2.60903e+07	2.70974e+07	2.32072e+07	2.3234e+07	2.59268e+07	2.44555e+07	2.4968e+07	2.30074e+07	2.3214e+07
Q8NBQ5	DHB11_HUMAN	HSD17B11	Estradiol 17-beta-dehydrogenase 11	5	5	1.07442e+06	874599	1.13577e+06	561659	915388	1.01759e+06	1.10328e+06	883156	1.0035e+06	1.19738e+06	648089	1.3789e+06		609129	590783	1.07341e+06	1.15206e+06	1.20529e+06
Q8NBR6	MINY2_HUMAN	MINDY2	Ubiquitin carboxyl-terminal hydrolase MINDY-2	1	1			1.0059e+07						7.24524e+06								4.05251e+06	
Q8NBS9	TXND5_HUMAN	TXNDC5	Thioredoxin domain-containing protein 5	13	13	7.18296e+07	6.85732e+07	6.70625e+07	6.98082e+07	6.99384e+07	5.99043e+07	7.5941e+07	7.81292e+07	6.63313e+07	6.04753e+07	5.22939e+07	5.55286e+07	6.20373e+07	6.07944e+07	5.19488e+07	6.67732e+07	6.01107e+07	6.06611e+07
Q8NBT2	SPC24_HUMAN	SPC24	Kinetochore protein Spc24	7	7	2.66569e+07	2.39781e+07	2.60823e+07	2.15529e+07	2.44888e+07	2.40574e+07	2.28469e+07	2.62442e+07	2.41293e+07	2.71963e+07	2.58123e+07	2.69303e+07	2.18445e+07	2.70272e+07	2.65993e+07	2.35205e+07	2.30423e+07	2.60151e+07
Q8NBU5	ATAD1_HUMAN	ATAD1	Outer mitochondrial transmembrane helix translocase	5	5	2.98905e+06	3.10773e+06	1.98761e+06	3.15761e+06	2.91721e+06	2.96246e+06	2.12555e+06	2.95251e+06	2.89587e+06	3.39877e+06	3.48785e+06	2.71349e+06	2.58205e+06	3.2281e+06	2.77355e+06	2.4376e+06	3.37251e+06	3.45541e+06
Q8NBX0	SCPDL_HUMAN	SCCPDH	Saccharopine dehydrogenase-like oxidoreductase	7	7	9.26684e+06	8.98726e+06	1.10347e+07	8.4802e+06	8.48981e+06	9.68139e+06	1.00489e+07	9.56382e+06	9.72856e+06	8.64503e+06	8.65272e+06	9.35069e+06	6.75735e+06	8.85244e+06	9.11366e+06	8.84295e+06	9.20255e+06	9.5953e+06
Q8NBZ0	IN80E_HUMAN	INO80E	INO80 complex subunit E	2	2			767031				399984			776170	854145							
Q8NC26	ZN114_HUMAN	ZNF114	Zinc finger protein 114	1	0								311242						331659				
Q8NC51	SERB1_HUMAN	SERBP1	SERPINE1 mRNA-binding protein 1	19	19	1.75315e+08	1.72499e+08	1.79156e+08	1.77714e+08	1.91423e+08	1.89946e+08	2.04826e+08	1.9912e+08	1.8854e+08	1.69972e+08	1.79018e+08	1.63111e+08	1.84542e+08	1.77599e+08	1.69808e+08	1.87154e+08	1.79468e+08	1.66391e+08
Q8NC54	KCT2_HUMAN	KCT2	Keratinocyte-associated transmembrane protein 2	1	1	279976	499618	478775		356898	478465	570231	595040	334204							409168	410034	
Q8NC60	NOA1_HUMAN	NOA1	Nitric oxide-associated protein 1	12	12	3.97779e+06	3.42583e+06	2.97994e+06	3.46792e+06	3.75499e+06	4.39885e+06	3.24557e+06	3.86297e+06	4.26955e+06	4.48847e+06	4.18383e+06	3.80163e+06	3.53739e+06	4.14124e+06	3.67588e+06	3.3949e+06	4.50886e+06	4.4771e+06
Q8NC96	NECP1_HUMAN	NECAP1	Adaptin ear-binding coat-associated protein 1	5	5	1.91034e+06	2.22551e+06	2.10056e+06	1.97835e+06	2.10812e+06	1.94651e+06	2.2045e+06	2.03554e+06	1.64369e+06	2.17609e+06	2.21705e+06	1.84867e+06	2.11625e+06	2.14322e+06	2.0369e+06	2.0173e+06	1.79201e+06	2.14754e+06
Q8NCA5	FA98A_HUMAN	FAM98A	Protein FAM98A	4	4	4.77695e+07	4.65647e+07	5.63346e+07	4.92947e+07	4.49118e+07	4.31986e+07	5.15831e+07	4.59965e+07	5.29242e+07	4.95183e+07	4.91893e+07	5.48258e+07	4.61759e+07	4.93692e+07	5.18912e+07	5.2693e+07	5.1392e+07	4.87245e+07
Q8NCC3	PAG15_HUMAN	PLA2G15	Lysosomal phospholipase A and acyltransferase	1	1				250946		722354				579504								
Q8NCD3	HJURP_HUMAN	HJURP	Holliday junction recognition protein	2	2	425826	328016	394761	297221	510441		356447			412014	447858			354195	339149	451041	448474	398099
Q8NCE0	SEN2_HUMAN	TSEN2	tRNA-splicing endonuclease subunit Sen2	3	3	561135	480360	726510	699341	731710	570312		617736		794462	760797	1.07135e+06		634117	704073	604792	606101	444924
Q8NCE2	MTMRE_HUMAN	MTMR14	Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR14	6	6	657422	542455	624181	307958	438580	362801	394556	332902	540811	732035	429512	531014		586737	581580	317578	649434	545685
Q8NCF5	NF2IP_HUMAN	NFATC2IP	NFATC2-interacting protein	7	7	3.44087e+06	3.69612e+06	4.04376e+06	3.77492e+06	3.74978e+06	4.04097e+06	3.43389e+06	3.51322e+06	3.19389e+06	4.08014e+06	4.02428e+06	3.52413e+06	3.59577e+06	4.08276e+06	3.67676e+06	3.64873e+06	4.32008e+06	4.07502e+06
Q8NCG7	DGLB_HUMAN	DAGLB	Diacylglycerol lipase-beta	1	1										1.16656e+06	1.25444e+06			1.10745e+06		1.34225e+06		
Q8NCN4	RN169_HUMAN	RNF169	E3 ubiquitin-protein ligase RNF169	6	6	778283	821114	818590	584068	941956	783472	882584	1.02925e+06	768195	1.08145e+06	1.08821e+06	959145	789681	1.09288e+06	790937	1.15059e+06	1.01908e+06	1.11075e+06
Q8NCN5	PDPR_HUMAN	PDPR	Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial	8	8	1.31553e+06	1.5216e+06	1.12942e+06	872798	1.41569e+06	1.31101e+06	1.27718e+06	1.35172e+06	1.31091e+06	1.51198e+06	1.3102e+06	1.33646e+06	1.10197e+06	1.36887e+06	1.03168e+06	1.60905e+06	1.53733e+06	1.59747e+06
Q8NCW5	NNRE_HUMAN	NAXE	NAD(P)H-hydrate epimerase	8	8	5.56974e+07	5.01118e+07	5.64645e+07	5.18151e+07	4.99047e+07	5.17374e+07	5.97294e+07	5.52464e+07	5.69818e+07	5.37313e+07	5.53443e+07	5.13272e+07	5.09725e+07	4.8287e+07	4.65537e+07	5.61155e+07	5.10937e+07	5.25393e+07
Q8ND04	SMG8_HUMAN	SMG8	Nonsense-mediated mRNA decay factor SMG8	14	14	1.03729e+07	9.41566e+06	1.02091e+07	9.28526e+06	1.0018e+07	1.04391e+07	9.84516e+06	9.65618e+06	1.03078e+07	9.78932e+06	1.08938e+07	9.40444e+06	9.21476e+06	1.02384e+07	9.66082e+06	1.04045e+07	1.04424e+07	1.02026e+07
Q8ND24	RN214_HUMAN	RNF214	RING finger protein 214	13	13	4.2073e+07	4.25712e+07	4.28816e+07	3.57219e+07	4.24283e+07	4.78258e+07	3.97336e+07	4.25278e+07	4.43913e+07	4.31791e+07	4.31709e+07	5.28615e+07	3.16465e+07	4.37666e+07	5.07263e+07	4.43158e+07	4.45877e+07	4.56935e+07
Q8ND56	LS14A_HUMAN	LSM14A	Protein LSM14 homolog A	6	6	2.88258e+07	2.971e+07	2.67139e+07	2.78907e+07	3.08132e+07	2.58818e+07	2.89249e+07	2.85886e+07	2.65264e+07	2.66379e+07	2.98727e+07	2.29253e+07	2.40824e+07	3.0636e+07	2.43641e+07	2.78647e+07	2.6786e+07	2.673e+07
Q8ND76	CCNY_HUMAN	CCNY	Cyclin-Y	4	2	896701	859432	990942	492600	958673	939329	871277	883776	792575	1.11199e+06	1.03599e+06	1.01726e+06		725553	1.13806e+06	948442	1.03041e+06	975746
Q8ND82	Z280C_HUMAN	ZNF280C	Zinc finger protein 280C	2	2			1.78281e+06				1.67146e+06			1.71781e+06						1.96351e+06	1.60162e+06	
Q8NDD1	FSAF1_HUMAN	FSAF1	40S small subunit processome assembly factor 1	8	8	3.65173e+06	3.48219e+06	3.73958e+06	3.51789e+06	3.68896e+06	3.30874e+06	3.29477e+06	3.52912e+06	3.68957e+06	3.96415e+06	3.88906e+06	3.41488e+06	2.59908e+06	3.6973e+06	3.47928e+06	4.00272e+06	4.03659e+06	3.90331e+06
Q8NDF8	PAPD5_HUMAN	TENT4B	Terminal nucleotidyltransferase 4B	4	4	5.5064e+06	4.33303e+06	7.72067e+06	6.52835e+06	3.7308e+06	7.03956e+06	7.11073e+06	4.67827e+06	5.68433e+06	4.63326e+06	5.90653e+06	5.85744e+06	3.16759e+06	3.36783e+06	4.81516e+06	5.46137e+06	6.23316e+06	5.91753e+06
Q8NDI1	EHBP1_HUMAN	EHBP1	EH domain-binding protein 1	4	4	602387	814726	1.07714e+06	804425	788114	1.10467e+06	743914	804040	926546	729143	878019	1.21805e+06	692561	749770	872083	933485	854425	806656
Q8NDT2	RB15B_HUMAN	RBM15B	Putative RNA-binding protein 15B	2	2					457121			483094		600313	651531	537122			527216		524052	557862
Q8NDV7	TNR6A_HUMAN	TNRC6A	Trinucleotide repeat-containing gene 6A protein	1	0				2.20184e+07	1.51358e+07					1.36872e+07			1.16499e+07			3.14173e+07		1.10534e+07
Q8NDX1	PSD4_HUMAN	PSD4	PH and SEC7 domain-containing protein 4	3	3	411743	267785	398608		431045	397655		249555	378467	212696	214930	157630	168481	356107	336649	189934	294184	297489
Q8NE01	CNNM3_HUMAN	CNNM3	Metal transporter CNNM3	3	3	564873	674878		503466	805541			630208	524536	340609	410840			573510	468190	389157	383948	463867
Q8NE71	ABCF1_HUMAN	ABCF1	ATP-binding cassette sub-family F member 1	24	24	3.85265e+07	3.53044e+07	4.60916e+07	3.41158e+07	3.58689e+07	4.22374e+07	3.91816e+07	4.01855e+07	4.18499e+07	3.85817e+07	3.45769e+07	4.09774e+07	3.09676e+07	3.54166e+07	3.84872e+07	3.67318e+07	4.01869e+07	3.78488e+07
Q8NE86	MCU_HUMAN	MCU	Calcium uniporter protein, mitochondrial	5	5		4.36894e+06		4.18059e+06	3.81475e+06	4.02508e+06	3.3179e+06	3.55037e+06		5.41787e+06	4.95156e+06	3.36238e+06	3.85785e+06	4.30255e+06	5.15676e+06	3.80324e+06	4.17542e+06	3.98383e+06
Q8NEB9	PK3C3_HUMAN	PIK3C3	Phosphatidylinositol 3-kinase catalytic subunit type 3	9	9	1.76641e+06	1.84716e+06	1.86354e+06	1.15988e+06	1.66885e+06	1.85326e+06	1.48447e+06	1.78728e+06	1.8506e+06	1.73864e+06	2.00429e+06	1.98877e+06	1.49029e+06	1.67853e+06	1.93047e+06	1.41024e+06	2.0042e+06	2.01395e+06
Q8NEC7	GSTCD_HUMAN	GSTCD	Glutathione S-transferase C-terminal domain-containing protein	3	3	1.00683e+06	1.19132e+06	940040	1.06292e+06	1.211e+06	1.0056e+06	1.1798e+06	948152	1.00758e+06	1.32041e+06	1.4081e+06	1.27437e+06	1.0161e+06	1.28901e+06	1.29629e+06	1.0357e+06	1.074e+06	1.03241e+06
Q8NEF9	SRFB1_HUMAN	SRFBP1	Serum response factor-binding protein 1	8	8	7.26783e+06	7.05094e+06	6.43959e+06	4.80119e+06	6.74089e+06	6.52908e+06	6.54879e+06	6.79098e+06	6.7658e+06	6.34541e+06	7.21075e+06	6.79754e+06	4.8412e+06	5.96188e+06	6.32068e+06	7.05069e+06	7.03714e+06	6.63621e+06
Q8NEJ9	NGDN_HUMAN	NGDN	Neuroguidin	9	9	1.52446e+07	1.58004e+07	1.86697e+07	1.58598e+07	1.59517e+07	1.76449e+07	1.64725e+07	1.55039e+07	1.57213e+07	1.63401e+07	1.66975e+07	1.93297e+07	1.44216e+07	1.63627e+07	1.82588e+07	1.73105e+07	1.69972e+07	1.61871e+07
Q8NEM2	SHCBP_HUMAN	SHCBP1	SHC SH2 domain-binding protein 1	4	4	799061	1.05433e+06	981643	906756	1.37784e+06	1.06099e+06	854211	993491	1.21277e+06	933981	907040	992825	742484	1.0066e+06	985253	1.06056e+06	1.11188e+06	1.20656e+06
Q8NEM7	SP20H_HUMAN	SUPT20H	Transcription factor SPT20 homolog	3	3		312436	296149		234686	259630		171306	219683	306724	202352	371948		200911	240649	289572	256280	206566
Q8NEY1	NAV1_HUMAN	NAV1	Neuron navigator 1	5	5	1.22967e+06	1.35003e+06		1.28624e+06		1.0365e+06	1.39276e+06	939209	1.19507e+06	1.43093e+06	1.88123e+06	1.00028e+06		1.14376e+06		1.08337e+06		1.5506e+06
Q8NEY8	PPHLN_HUMAN	PPHLN1	Periphilin-1	6	6	6.74789e+07	7.16175e+07	5.86692e+07	7.20951e+07	7.89407e+07	6.77868e+07	6.45551e+07	7.08862e+07	7.54249e+07	7.24242e+07	7.85591e+07	6.15936e+07	6.87253e+07	7.56144e+07	7.0671e+07	6.99527e+07	7.50968e+07	6.80801e+07
Q8NEZ2	VP37A_HUMAN	VPS37A	Vacuolar protein sorting-associated protein 37A	3	3	2.26324e+06		2.08074e+06		3.17391e+06	3.27813e+06	2.32139e+06	2.26559e+06		3.45167e+06	3.53864e+06	4.25431e+06			3.04991e+06	2.75464e+06	3.14428e+06	3.54018e+06
Q8NEZ5	FBX22_HUMAN	FBXO22	F-box only protein 22	6	6	2.03022e+07	2.18232e+07	2.03548e+07	1.78302e+07	1.82305e+07	1.87114e+07	1.90859e+07	1.2939e+07	2.021e+07	1.93708e+07	1.90092e+07	1.72832e+07	1.28004e+07	2.03429e+07	1.72298e+07	1.72043e+07	1.95926e+07	1.80137e+07
Q8NF50	DOCK8_HUMAN	DOCK8	Dedicator of cytokinesis protein 8	30	27	9.04028e+06	9.6634e+06	8.75414e+06	8.58915e+06	9.51368e+06	9.5072e+06	9.08556e+06	9.50178e+06	9.06815e+06	9.6738e+06	9.9994e+06	8.82932e+06	8.56624e+06	1.03382e+07	8.9614e+06	9.60218e+06	9.23282e+06	9.39848e+06
Q8NFA0	UBP32_HUMAN	USP32	Ubiquitin carboxyl-terminal hydrolase 32	6	5	1.66524e+06	1.40985e+06	1.45363e+06	1.19353e+06	1.32611e+06	1.61068e+06	1.43778e+06	1.29706e+06	1.50219e+06	1.37065e+06	1.42043e+06	1.48267e+06	1.16858e+06	1.42024e+06	1.5826e+06	1.36615e+06	1.29909e+06	1.73133e+06
Q8NFC6	BD1L1_HUMAN	BOD1L1	Biorientation of chromosomes in cell division protein 1-like 1	20	20	2.08867e+06	2.36575e+06	2.74775e+06	1.96766e+06	2.2447e+06	2.45096e+06	2.26752e+06	2.05454e+06	2.50616e+06	2.24773e+06	2.49572e+06	3.20237e+06	1.93518e+06	2.36899e+06	2.69168e+06	2.5519e+06	2.59087e+06	2.47551e+06
Q8NFD5	ARI1B_HUMAN	ARID1B	AT-rich interactive domain-containing protein 1B	12	12	4.60745e+06	4.44107e+06	5.99689e+06	3.86119e+06	4.2199e+06	4.57273e+06	4.49376e+06	4.51831e+06	5.16747e+06	4.82543e+06	3.75468e+06	5.76982e+06	3.3495e+06	5.10261e+06	5.65753e+06	4.41033e+06	5.0759e+06	4.76248e+06
Q8NFF5	FAD1_HUMAN	FLAD1	Bifunctional FAD diphosphatase/FAD synthase	13	13	7.13214e+06	7.09068e+06	6.70287e+06	7.85741e+06	6.75991e+06	6.76478e+06	7.00296e+06	7.27665e+06	7.02895e+06	7.36547e+06	7.02234e+06	6.51179e+06	6.74586e+06	6.99751e+06	7.60186e+06	7.30746e+06	6.93789e+06	7.10829e+06
Q8NFG4	FLCN_HUMAN	FLCN	Folliculin	2	2	683550	776113	506694	581251	695461	840809	825100	685897	466825	740664	816848	750388	444408	682898	696832	801405	569168	685066
Q8NFH3	NUP43_HUMAN	NUP43	Nucleoporin Nup43	10	10	5.17976e+07	4.8954e+07	4.9476e+07	5.27564e+07	5.02934e+07	4.89457e+07	5.03815e+07	5.34242e+07	5.12262e+07	5.28055e+07	4.96707e+07	5.0047e+07	4.88768e+07	5.07337e+07	5.06176e+07	5.10418e+07	5.3466e+07	5.01052e+07
Q8NFH4	NUP37_HUMAN	NUP37	Nucleoporin Nup37	6	6	6.18959e+07	5.80791e+07	5.57288e+07	5.82455e+07	5.98089e+07	5.57874e+07	6.05268e+07	6.42779e+07	5.9751e+07	5.72514e+07	5.67763e+07	4.73437e+07	4.77537e+07	5.56794e+07	4.92163e+07	5.48373e+07	5.42645e+07	5.37702e+07
Q8NFH5	NUP35_HUMAN	NUP35	Nucleoporin NUP35	5	5	2.42493e+07	2.47162e+07	2.56816e+07	2.23982e+07	2.35715e+07	2.79304e+07	2.42701e+07	2.28226e+07	2.51475e+07	2.53488e+07	2.64955e+07	2.83191e+07	2.19765e+07	2.60564e+07	2.80995e+07	2.51845e+07	2.66572e+07	2.56279e+07
Q8NFI3	ENASE_HUMAN	ENGASE	Cytosolic endo-beta-N-acetylglucosaminidase	2	2					91484.7	142408					137151					163534	91029.3	147966
Q8NFV4	ABHDB_HUMAN	ABHD11	sn-1-specific diacylglycerol lipase ABHD11	5	5	1.74608e+07	2.46496e+07	1.61237e+07	2.32055e+07	2.26032e+07	1.51182e+07	1.99378e+07	2.13809e+07	1.88604e+07	2.46276e+07	2.86353e+07	1.80094e+07	2.67515e+07	2.80449e+07	1.96688e+07	2.31816e+07	2.23334e+07	2.18919e+07
Q8NFW8	NEUA_HUMAN	CMAS	N-acylneuraminate cytidylyltransferase	11	11	2.25761e+07	2.16389e+07	1.98218e+07	1.96332e+07	2.17865e+07	2.12768e+07	2.0817e+07	2.2542e+07	2.26985e+07	2.21206e+07	2.20439e+07	1.98855e+07	1.97678e+07	2.21988e+07	2.06644e+07	2.08992e+07	2.0668e+07	2.16496e+07
Q8NG06	TRI58_HUMAN	TRIM58	E3 ubiquitin-protein ligase TRIM58	2	2	320394	261847	353288	326427	250693	357907	351381	337459	179342	287509	287168	214356		234964	308424	321588	374937	330537
Q8NG11	TSN14_HUMAN	TSPAN14	Tetraspanin-14	1	1										2.16873e+06	1.06324e+06			1.63201e+06				
Q8NG31	KNL1_HUMAN	KNL1	Outer kinetochore KNL1 complex subunit KNL1	17	17	4.27301e+06	4.30826e+06	3.41715e+06	3.66427e+06	4.0619e+06	4.00012e+06	3.87939e+06	3.89293e+06	3.77919e+06	4.5156e+06	4.76843e+06	4.22043e+06	3.13043e+06	4.58548e+06	3.82697e+06	3.86199e+06	4.11717e+06	4.60268e+06
Q8NG68	TTL_HUMAN	TTL	Tubulin--tyrosine ligase	3	3	2.18138e+06	1.37628e+06			1.29294e+06	1.46956e+06	545077	1.44033e+06	1.63316e+06		2.00165e+06			1.88734e+06	1.21063e+06	1.01411e+06	1.50372e+06	919684
Q8NHG7	SVIP_HUMAN	SVIP	Small VCP/p97-interacting protein	2	2	1.89212e+06	1.94504e+06	1.66912e+06	1.79585e+06	1.26289e+06	876792	1.86654e+06	1.78054e+06	1.59666e+06	2.09333e+06	1.55561e+06	2.1612e+06	779305	1.41018e+06	1.9734e+06	1.83821e+06	1.50513e+06	2.0425e+06
Q8NHG8	ZNRF2_HUMAN	ZNRF2	E3 ubiquitin-protein ligase ZNRF2	1	1		408893			409568	400815		339774	341799			392274			283970		375707	550011
Q8NHH9	ATLA2_HUMAN	ATL2	Atlastin-2	5	5	3.29833e+06	2.1996e+06	2.28096e+06		2.11113e+06	1.89855e+06	1.15821e+06	2.54565e+06	2.45447e+06	3.40268e+06	2.0109e+06	2.32971e+06		4.14385e+06	2.72823e+06	1.53135e+06	2.40705e+06	3.14152e+06
Q8NHP8	PLBL2_HUMAN	PLBD2	Putative aminopeptidase PLBD2	4	4	6.12131e+06	5.84148e+06	5.00706e+06	6.7638e+06	6.09328e+06	5.52029e+06	5.78869e+06	5.81272e+06	5.81723e+06	6.62943e+06	6.15727e+06	6.19699e+06	5.67425e+06	6.83861e+06	5.20801e+06	5.59529e+06	5.53065e+06	6.06798e+06
Q8NHQ9	DDX55_HUMAN	DDX55	ATP-dependent RNA helicase DDX55	9	9	2.00066e+06	2.24615e+06	2.08229e+06	1.66314e+06	2.2002e+06	2.37974e+06	2.50034e+06	2.3181e+06	2.28676e+06	2.64999e+06	2.50345e+06	2.30494e+06	1.74326e+06	2.3553e+06	2.41038e+06	2.49596e+06	2.47762e+06	2.39224e+06
Q8NHS3	MFSD8_HUMAN	MFSD8	Major facilitator superfamily domain-containing protein 8	1	1																166916		
Q8NHV4	NEDD1_HUMAN	NEDD1	Protein NEDD1	4	4	1.22787e+06	1.29887e+06	1.52436e+06	1.07286e+06	1.26014e+06	1.71454e+06	1.15396e+06	1.04787e+06	1.43438e+06	1.13141e+06	1.27256e+06	1.46069e+06	872057	1.27317e+06	1.35738e+06	1.26595e+06	1.24108e+06	1.34282e+06
Q8NHY2	COP1_HUMAN	COP1	E3 ubiquitin-protein ligase COP1	2	2	187553	173159	214457	160739	154863	202766	168983		173210	191857	185497	145250		225456	220868	211863	186717	
Q8NHZ8	CDC26_HUMAN	CDC26	Anaphase-promoting complex subunit CDC26	3	3	5.13677e+07	5.17013e+07	5.31835e+07	3.5707e+07	5.0951e+07	5.36226e+07	4.07334e+07	5.02697e+07	5.04152e+07	5.45238e+07	5.97014e+07	5.40574e+07	3.36806e+07	5.85219e+07	5.70451e+07	5.05372e+07	5.58504e+07	5.705e+07
Q8NI08	NCOA7_HUMAN	NCOA7	Nuclear receptor coactivator 7	3	3	546141	684965			802180	979193		881297		1.00861e+06	678846	908085		893880	954779			895515
Q8NI22	MCFD2_HUMAN	MCFD2	Multiple coagulation factor deficiency protein 2	3	3	1.35936e+07	1.34735e+07	1.34614e+07	1.2441e+07	1.3633e+07	1.43647e+07	1.427e+07	1.05829e+07	1.34221e+07	1.69647e+07	1.76335e+07	1.77316e+07	1.07071e+07	1.39701e+07	1.31146e+07	1.38662e+07	1.5086e+07	1.67421e+07
Q8NI27	THOC2_HUMAN	THOC2	THO complex subunit 2	26	26	8.26308e+07	7.93749e+07	7.2739e+07	8.562e+07	8.52422e+07	7.47213e+07	7.81966e+07	7.83396e+07	7.62826e+07	8.8023e+07	8.02643e+07	7.31233e+07	8.4754e+07	9.10259e+07	7.73057e+07	8.10272e+07	8.0414e+07	7.69596e+07
Q8NI36	WDR36_HUMAN	WDR36	WD repeat-containing protein 36	25	25	3.48865e+07	3.31992e+07	4.15602e+07	3.31849e+07	3.38568e+07	3.72877e+07	3.49458e+07	3.48443e+07	3.53588e+07	3.45271e+07	3.42223e+07	3.99045e+07	2.87177e+07	3.66853e+07	3.77527e+07	3.60497e+07	3.53524e+07	3.67055e+07
Q8NI51	CTCFL_HUMAN	CTCFL	Transcriptional repressor CTCFL	1	1					61032.1	88681.3		50148.7			40476.9							
Q8NI60	COQ8A_HUMAN	COQ8A	Atypical kinase COQ8A, mitochondrial	4	4	2.63669e+06	3.87987e+06		3.35344e+06	2.80142e+06	2.72023e+06	4.52593e+06	2.46176e+06	3.9321e+06	3.00837e+06	3.25205e+06		3.26977e+06	3.34142e+06	2.94191e+06	4.2254e+06	2.99108e+06	3.61625e+06
Q8TA86	RP9_HUMAN	RP9	Retinitis pigmentosa 9 protein	2	2	799758	891888	1.3203e+06	953012	1.29712e+06	1.34632e+06	1.29394e+06	1.21316e+06	1.4337e+06	1.13097e+06	1.474e+06	1.19567e+06		1.46204e+06	1.14645e+06	1.18348e+06	1.61442e+06	1.28832e+06
Q8TAA5	GRPE2_HUMAN	GRPEL2	GrpE protein homolog 2, mitochondrial	4	4	1.36196e+06	1.45167e+06	685458	1.28647e+06	1.42986e+06	1.33986e+06	1.49764e+06	1.28697e+06	1.19969e+06	1.13198e+06	1.397e+06	1.1012e+06	1.46365e+06	1.57212e+06	1.12591e+06	1.42114e+06	1.26902e+06	1.5815e+06
